weeks_after,send_job_name,old_new_state,per_emailsegment_total,per_email_total,email_short,email_segment,perc_segmentemail_%
2,PRD_WM_Personalized_Newsletter_CC,Active - Inactive,77,7540,_CC,Active - Inactive-_CC,1.02
2,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - AtRisk_Dec,144,7540,_CC,AtRisk_Dec - AtRisk_Dec-_CC,1.91
2,PRD_WM_Personalized_Newsletter_CC,Active - Active,4577,7540,_CC,Active - Active-_CC,60.70
2,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - Active,306,7540,_CC,AtRisk_Dec - Active-_CC,4.06
2,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - Inactive,287,7540,_CC,AtRisk_Dec - Inactive-_CC,3.81
2,PRD_WM_Personalized_Newsletter_CC,Inactive - Active,284,7540,_CC,Inactive - Active-_CC,3.77
2,PRD_WM_Personalized_Newsletter_CC,Inactive - Inactive,1121,7540,_CC,Inactive - Inactive-_CC,14.87
2,PRD_WM_Personalized_Newsletter_CC,Inactive - AtRisk_Dec,19,7540,_CC,Inactive - AtRisk_Dec-_CC,0.25
2,PRD_WM_Personalized_Newsletter_CC,Active - AtRisk_Dec,725,7540,_CC,Active - AtRisk_Dec-_CC,9.62
1,PRD_WM_Personalized_Newsletter_CC,Inactive - AtRisk_Dec,15,7636,_CC,Inactive - AtRisk_Dec-_CC,0.20
1,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - Inactive,286,7636,_CC,AtRisk_Dec - Inactive-_CC,3.75
1,PRD_WM_Personalized_Newsletter_CC,Inactive - Active,230,7636,_CC,Inactive - Active-_CC,3.01
1,PRD_WM_Personalized_Newsletter_CC,Inactive - Inactive,1142,7636,_CC,Inactive - Inactive-_CC,14.96
1,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - Active,321,7636,_CC,AtRisk_Dec - Active-_CC,4.20
1,PRD_WM_Personalized_Newsletter_CC,Active - Inactive,92,7636,_CC,Active - Inactive-_CC,1.20
1,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - AtRisk_Dec,130,7636,_CC,AtRisk_Dec - AtRisk_Dec-_CC,1.70
1,PRD_WM_Personalized_Newsletter_CC,Active - AtRisk_Dec,593,7636,_CC,Active - AtRisk_Dec-_CC,7.77
1,PRD_WM_Personalized_Newsletter_CC,Active - Active,4827,7636,_CC,Active - Active-_CC,63.21
16,PRD_WM_Personalized_Newsletter_CC,Active - Inactive,2,6250,_CC,Active - Inactive-_CC,0.03
16,PRD_WM_Personalized_Newsletter_CC,Inactive - AtRisk_Dec,22,6250,_CC,Inactive - AtRisk_Dec-_CC,0.35
16,PRD_WM_Personalized_Newsletter_CC,Inactive - Active,348,6250,_CC,Inactive - Active-_CC,5.57
16,PRD_WM_Personalized_Newsletter_CC,Active - AtRisk_Dec,782,6250,_CC,Active - AtRisk_Dec-_CC,12.51
16,PRD_WM_Personalized_Newsletter_CC,Inactive - Inactive,1371,6250,_CC,Inactive - Inactive-_CC,21.94
16,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - Inactive,423,6250,_CC,AtRisk_Dec - Inactive-_CC,6.77
16,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - AtRisk_Dec,93,6250,_CC,AtRisk_Dec - AtRisk_Dec-_CC,1.49
16,PRD_WM_Personalized_Newsletter_CC,Active - Active,2940,6250,_CC,Active - Active-_CC,47.04
16,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - Active,269,6250,_CC,AtRisk_Dec - Active-_CC,4.30
14,PRD_WM_Personalized_Newsletter_CC,Inactive - AtRisk_Dec,7,6437,_CC,Inactive - AtRisk_Dec-_CC,0.11
14,PRD_WM_Personalized_Newsletter_CC,Inactive - Active,307,6437,_CC,Inactive - Active-_CC,4.77
14,PRD_WM_Personalized_Newsletter_CC,Inactive - Inactive,1418,6437,_CC,Inactive - Inactive-_CC,22.03
14,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - Inactive,386,6437,_CC,AtRisk_Dec - Inactive-_CC,6.00
14,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - Active,312,6437,_CC,AtRisk_Dec - Active-_CC,4.85
14,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - AtRisk_Dec,77,6437,_CC,AtRisk_Dec - AtRisk_Dec-_CC,1.20
14,PRD_WM_Personalized_Newsletter_CC,Active - Active,3253,6437,_CC,Active - Active-_CC,50.54
14,PRD_WM_Personalized_Newsletter_CC,Active - AtRisk_Dec,677,6437,_CC,Active - AtRisk_Dec-_CC,10.52
11,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - Active,315,6769,_CC,AtRisk_Dec - Active-_CC,4.65
11,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - AtRisk_Dec,98,6769,_CC,AtRisk_Dec - AtRisk_Dec-_CC,1.45
11,PRD_WM_Personalized_Newsletter_CC,Inactive - Active,297,6769,_CC,Inactive - Active-_CC,4.39
11,PRD_WM_Personalized_Newsletter_CC,Active - AtRisk_Dec,704,6769,_CC,Active - AtRisk_Dec-_CC,10.40
11,PRD_WM_Personalized_Newsletter_CC,Active - Active,3539,6769,_CC,Active - Active-_CC,52.28
11,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - Inactive,424,6769,_CC,AtRisk_Dec - Inactive-_CC,6.26
11,PRD_WM_Personalized_Newsletter_CC,Inactive - AtRisk_Dec,15,6769,_CC,Inactive - AtRisk_Dec-_CC,0.22
11,PRD_WM_Personalized_Newsletter_CC,Inactive - Inactive,1377,6769,_CC,Inactive - Inactive-_CC,20.34
7,PRD_WM_Personalized_Newsletter_CC,Inactive - Inactive,1470,7130,_CC,Inactive - Inactive-_CC,20.62
7,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - Inactive,430,7130,_CC,AtRisk_Dec - Inactive-_CC,6.03
7,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - Active,347,7130,_CC,AtRisk_Dec - Active-_CC,4.87
7,PRD_WM_Personalized_Newsletter_CC,Active - AtRisk_Dec,748,7130,_CC,Active - AtRisk_Dec-_CC,10.49
7,PRD_WM_Personalized_Newsletter_CC,Inactive - AtRisk_Dec,12,7130,_CC,Inactive - AtRisk_Dec-_CC,0.17
7,PRD_WM_Personalized_Newsletter_CC,Inactive - Active,269,7130,_CC,Inactive - Active-_CC,3.77
7,PRD_WM_Personalized_Newsletter_CC,Active - Inactive,3,7130,_CC,Active - Inactive-_CC,0.04
7,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - AtRisk_Dec,114,7130,_CC,AtRisk_Dec - AtRisk_Dec-_CC,1.60
7,PRD_WM_Personalized_Newsletter_CC,Active - Active,3737,7130,_CC,Active - Active-_CC,52.41
4,PRD_WM_Personalized_Newsletter_CC,Active - Inactive,12,7270,_CC,Active - Inactive-_CC,0.17
4,PRD_WM_Personalized_Newsletter_CC,Inactive - AtRisk_Dec,14,7270,_CC,Inactive - AtRisk_Dec-_CC,0.19
4,PRD_WM_Personalized_Newsletter_CC,Active - AtRisk_Dec,775,7270,_CC,Active - AtRisk_Dec-_CC,10.66
4,PRD_WM_Personalized_Newsletter_CC,Inactive - Inactive,1270,7270,_CC,Inactive - Inactive-_CC,17.47
4,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - Inactive,360,7270,_CC,AtRisk_Dec - Inactive-_CC,4.95
4,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - AtRisk_Dec,119,7270,_CC,AtRisk_Dec - AtRisk_Dec-_CC,1.64
4,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - Active,398,7270,_CC,AtRisk_Dec - Active-_CC,5.47
4,PRD_WM_Personalized_Newsletter_CC,Active - Active,4030,7270,_CC,Active - Active-_CC,55.43
4,PRD_WM_Personalized_Newsletter_CC,Inactive - Active,292,7270,_CC,Inactive - Active-_CC,4.02
